order_id,customer_id,product_id,quantity,order_date,status
O000118,C00234,P0060,2,25-Jul-2026,cancelled
O000119,C00120,P0055,4,30-Jul-2026,cancelled
O000120,C00198,P0043,1,2026-08-14,Returned
O000121,C00170,P0056,4,2026-07-11,DELIVERED
O000122,C00210,P0056,3,14/08/2026,cancelled
O000123,C00042,P0055,4,26/07/2026,Pending
O000124,C00278,P0003,3,2026-08-12,delivered
O000125,C00223,P0007,4,2026-08-14,shipped
O000126,C00015,P0003,3,24/07/2026,DELIVERED
O000127,C00126,P0034,2,2026-07-31,DELIVERED
O000128,C00041,P0040,4,29-Jul-2026,DELIVERED
O000129,C00119,P0030,1,14/08/2026,shipped
O000130,C00280,P0011,5,09/07/2026,cancelled
O000131,C00129,P0030,4,2026-07-24,Shipped
O000132,C00196,P0037,3,2026-07-27,cancelled
O000133,C00141,P0001,1,10-Aug-2026,Pending
O000134,C00147,P0050,2,19-Jul-2026,Shipped
O000135,C00129,P0044,1,16-Aug-2026,Delivered
O000136,C00159,P0051,2,2026-08-01,shipped
O000137,C00168,P0048,5,31/07/2026,Returned
O000138,C00257,P0059,4,22/07/2026,Cancelled
O000139,C00059,P0030,2,08-Jul-2026,cancelled
O000140,,P0024,5,2026-07-10,Pending
O000141,C00189,P0044,3,2026-08-17,Shipped
O000142,C00242,P0002,5,2026-08-13,delivered
O000143,C00238,P0059,1,2026-08-18,Delivered
O000144,C00020,P0020,5,2026-08-04,cancelled
O000145,C00233,P0024,5,16/08/2026,DELIVERED
O000146,C00213,P0042,3,2026-07-11,Cancelled
O000147,C00112,P0029,1,02-Aug-2026,Cancelled
O000148,C00279,P0058,3,2026-08-15,delivered
O000149,C00233,P0006,5,2026-08-16,Delivered
O000150,C00171,P0016,5,2026-07-13,Shipped
O000151,,P0022,2,2026-07-14,Returned
O000152,C00129,P0052,1,2026-07-15,Delivered
O000153,C00184,P0051,2,20/07/2026,Delivered
O000154,C00065,P0048,1,31/07/2026,Pending
O000155,C00186,P0033,2,10-Aug-2026,Delivered
O000156,C00267,P0020,1,03/08/2026,cancelled
O000157,C00219,P0044,4,2026-07-11,delivered
O000158,C00165,P0039,5,13-Jul-2026,Returned
O000159,C00167,P0025,5,12-Aug-2026,cancelled
O000160,C00051,P0051,5,17-Aug-2026,Shipped
O000161,C00221,P0029,4,19/07/2026,cancelled
O000162,C00049,P0021,3,2026-08-01,Pending
O000163,C00035,P0006,3,2026-07-09,Returned
O000164,C00031,P0038,1,09/08/2026,Cancelled
O000165,C00217,P0056,3,2026-07-08,Returned
O000166,C00109,P0010,1,16/08/2026,Returned
O000167,C00189,P0008,4,22-Jul-2026,Returned
O000168,C00014,P0039,2,16/08/2026,shipped
O000169,C00174,P0023,5,05-Jul-2026,cancelled
O000170,C00036,P0010,5,2026-08-13,cancelled
O000171,C00215,P0030,3,26-Jul-2026,delivered
O000172,C00027,P0010,1,15/07/2026,Pending
O000173,C00218,P0032,2,12-Aug-2026,delivered
O000174,C00177,P0028,5,12/07/2026,Returned
O000175,C00158,P0003,1,2026-07-19,Shipped
O000176,C00155,P0014,1,2026-07-13,Pending
O000177,C00221,P0012,2,13-Jul-2026,Returned
O000178,C00182,P0005,1,30/07/2026,delivered
O000179,C00161,P0037,4,01/08/2026,delivered
O000180,C00208,P0002,5,25/07/2026,Cancelled
O000181,C00046,P0028,4,11-Jul-2026,delivered
O000182,C00203,P0056,3,2026-07-24,delivered
O000183,C00262,P0041,3,12/07/2026,DELIVERED
O000184,C00121,P0007,5,2026-07-14,delivered
O000185,C00091,P0050,5,14-Aug-2026,Pending
O000186,C00290,P0042,3,2026-08-14,Pending
O000187,C00035,P0031,3,02-Aug-2026,Delivered
O000188,C00181,P0033,1,2026-07-09,Cancelled
O000189,C00147,P0005,5,14/08/2026,Pending
O000190,C00298,P0036,5,07-Jul-2026,Shipped
O000191,C00165,P0039,1,04/08/2026,delivered
O000192,C00176,P0046,1,2026-07-10,Pending
O000193,C00225,P0034,3,07/08/2026,cancelled
O000194,C00210,P0050,3,2026-07-26,Cancelled
O000195,C00049,P0036,5,2026-08-17,Cancelled
O000196,C00042,P0038,3,15-Aug-2026,cancelled
O000197,C00067,P0039,4,18-Aug-2026,Cancelled
O000198,C00066,P0043,5,2026-08-18,cancelled
O000199,C00261,P0024,2,06/07/2026,Pending
O000200,C00099,P0015,1,12-Jul-2026,Returned
O000201,C00270,P0003,5,2026-08-16,cancelled
O000202,C00079,P0011,2,16-Jul-2026,Pending
O000203,C00023,P0027,4,28-Jul-2026,shipped
O000204,C00230,P0015,4,2026-08-08,Cancelled
O000205,C00293,P0029,5,03-Aug-2026,cancelled
O000206,C00083,P0053,3,2026-07-17,Pending
O000207,C00191,P0036,1,11/07/2026,delivered
O000208,C00083,P0018,4,2026-08-02,Shipped
O000209,C00231,P0057,4,26-Jul-2026,Cancelled
O000210,C00121,P0025,3,2026-07-10,Cancelled
O000211,C00075,P0009,4,07-Jul-2026,DELIVERED
O000212,C00241,P0029,1,12/08/2026,Shipped
O000213,C00077,P0036,3,2026-08-12,shipped
O000214,C00063,P0004,5,20/07/2026,delivered
O000215,C00057,P0054,5,05-Aug-2026,Shipped
O000216,C00074,P0019,2,31-Jul-2026,cancelled
O000217,C00096,P0043,3,2026-08-15,Returned
O000218,C00279,P0033,4,2026-08-06,cancelled
O000219,C00192,P0017,3,2026-07-06,delivered
O000220,C00298,P0048,5,25/07/2026,DELIVERED
O000221,C00238,P0045,2,2026-08-04,Pending
O000222,C00019,P0019,1,16/07/2026,shipped
O000223,C00264,P0026,2,08/08/2026,Cancelled
O000224,C00025,P0056,3,15/08/2026,cancelled
O000225,C00226,P0058,4,29-Jul-2026,Pending
O000226,C00189,P0060,4,2026-08-07,cancelled
O000227,C00093,P0035,3,23-Jul-2026,shipped
O000228,C00157,P0029,4,12/08/2026,Pending
O000229,C00022,P0047,3,27-Jul-2026,Delivered
O000230,C00039,P0043,2,2026-08-14,DELIVERED
O000231,C00225,P0003,3,12/07/2026,cancelled
O000232,C00291,P0003,3,11/08/2026,Pending
O000233,C00040,P0037,3,13-Jul-2026,shipped
O000234,C00128,P0008,5,06/07/2026,Returned
O000235,C00061,P0017,5,21/07/2026,Pending
O000236,C00103,P0008,4,2026-07-12,Cancelled
O000237,C00178,P0046,3,2026-07-09,DELIVERED
O000238,C00186,P0033,2,2026-07-18,Pending
O000239,C00014,P0024,5,2026-08-09,delivered
O000240,C00034,P0020,5,30/07/2026,cancelled
O000241,C00295,P0005,4,13/07/2026,Returned
O000242,C00177,P0009,2,09/08/2026,Returned
O000243,C00029,P0054,2,2026-07-12,Cancelled
O000244,C00116,P0023,3,2026-08-07,Returned
O000245,C00141,P0009,1,14-Aug-2026,DELIVERED
O000246,C00298,P0010,5,15/07/2026,Delivered
O000247,C00015,P0006,3,07-Jul-2026,Shipped
O000248,C00293,P0027,5,13/08/2026,shipped
O000249,C00248,P0016,1,17-Aug-2026,Delivered
O000250,C00081,P0029,3,31-Jul-2026,DELIVERED
O000251,C00161,P0056,3,19/08/2026,DELIVERED
O000252,C00190,P0033,4,2026-08-08,shipped
O000253,C00231,P0016,4,13-Jul-2026,cancelled
O000254,C00128,P0056,3,2026-07-15,DELIVERED
O000255,C00256,P0033,4,2026-08-03,delivered
O000256,C00202,P0033,3,2026-08-03,Delivered
O000257,C00145,P0032,3,12-Aug-2026,Delivered
O000258,C00056,P0028,4,13/07/2026,Delivered
O000259,C00206,P0004,5,10/08/2026,delivered
O000260,C00198,P0033,5,02-Aug-2026,delivered
O000261,C00066,P0007,3,30-Jul-2026,Cancelled
O000262,C00074,P0013,1,2026-08-12,Delivered
O000263,C00071,P0046,2,26-Jul-2026,Returned
O000264,C00072,P0021,5,13-Aug-2026,shipped
O000265,C00173,P0033,5,06/08/2026,Pending
O000266,C00009,P0024,4,26-Jul-2026,shipped
O000267,C00014,P0039,5,04-Aug-2026,Shipped
O000268,C00027,P0038,5,04/08/2026,DELIVERED
O000269,C00125,P0003,1,10/08/2026,Cancelled
O000270,C00215,P0010,5,31-Jul-2026,Pending
O000271,C00032,P0046,3,13-Jul-2026,Pending
O000272,C00270,P0025,5,25/07/2026,Returned
O000273,C00182,P0044,3,17-Aug-2026,Pending
O000274,C00099,P0016,3,22/07/2026,Shipped
O000275,C00251,P0021,3,04/08/2026,delivered
O000276,C00294,P0044,4,08/08/2026,DELIVERED
O000277,C00149,P0003,4,23-Jul-2026,shipped
O000278,C00246,P0014,5,17-Jul-2026,shipped
O000279,C00071,P0007,2,2026-08-13,Returned
O000280,C00116,P0041,3,18-Jul-2026,Pending
O000281,C00052,P0044,2,12/07/2026,Pending
O000282,C00245,P0042,1,2026-07-17,Shipped
O000283,C00274,P0048,2,2026-07-07,cancelled
O000284,,P0012,5,22-Jul-2026,delivered
O000285,C00172,P0019,4,2026-08-03,Returned
O000286,C00240,P0018,4,16-Jul-2026,shipped
O000287,C00096,P0001,2,2026-07-26,cancelled
O000288,C00219,P0033,1,2026-07-24,DELIVERED
O000289,C00245,P0021,2,19/07/2026,shipped
O000290,C00169,P0020,3,11-Aug-2026,Cancelled
O000291,C00121,P0004,2,15/08/2026,Returned
O000292,C00160,P0045,3,12/07/2026,Shipped
O000293,C00113,P0009,5,03/08/2026,cancelled
O000294,C00282,P0059,2,2026-08-04,delivered
O000295,C00270,P0029,5,2026-08-07,Delivered
O000296,C00281,P0058,2,2026-08-06,Cancelled
O000297,C00267,P0029,5,12/07/2026,delivered
O000298,C00262,P0029,4,08/07/2026,Delivered
O000299,C00287,P0030,4,17/08/2026,Delivered
O000300,C00112,P0038,1,08-Jul-2026,Delivered
O000301,C00036,P0060,2,2026-08-03,cancelled
O000302,C00192,P0058,4,29/07/2026,delivered
O000303,C00277,P0009,5,15/08/2026,Returned
O000304,C00066,P0047,3,18/07/2026,Returned
O000305,C00218,P0035,3,2026-07-29,shipped
O000306,C00097,P0060,4,11-Jul-2026,Delivered
O000307,C00124,P0014,4,08-Jul-2026,Delivered
O000308,C00126,P0048,5,2026-07-07,Delivered
O000309,C00072,P0033,5,23/07/2026,Cancelled
O000310,C00122,P0020,4,14/07/2026,shipped
O000311,C00032,P0036,4,11-Aug-2026,Pending
O000312,C00025,P0023,5,15/08/2026,cancelled
O000313,C00210,P0010,5,24/07/2026,Shipped
O000314,C00116,P0020,1,18-Aug-2026,cancelled
O000315,C00214,P0036,3,2026-08-06,Cancelled
O000316,C00041,P0060,2,2026-08-02,shipped
O000317,C00194,P0044,1,2026-08-12,Returned
O000318,C00112,P0031,1,2026-07-18,Shipped
O000319,C00061,P0048,2,04/08/2026,Shipped
O000320,C00283,P0021,3,23/07/2026,shipped
O000321,C00185,P0033,4,05/08/2026,Shipped
O000322,C00190,P0021,2,30-Jul-2026,DELIVERED
O000323,C00009,P0017,4,09/08/2026,DELIVERED
O000324,C00101,P0022,2,19/07/2026,Returned
O000325,C00173,P0017,4,05/08/2026,DELIVERED
O000326,C00181,P0011,2,13-Jul-2026,Delivered
O000327,C00269,P0003,1,09/07/2026,DELIVERED
O000328,,P0005,5,18/08/2026,Cancelled
O000329,C00031,P0040,4,14-Aug-2026,Pending
O000330,C00009,P0001,1,08-Aug-2026,shipped
O000331,C00275,P0019,4,2026-07-06,delivered
O000332,C00050,P0034,5,14/07/2026,Cancelled
O000333,C00137,P0051,4,29/07/2026,Shipped
O000334,C00116,P0020,1,2026-08-16,cancelled
O000335,C00195,P0025,1,09-Aug-2026,DELIVERED
O000336,C00043,P0032,5,2026-08-01,Returned
O000337,C00022,P0015,4,18/07/2026,Delivered
O000338,C00039,P0044,1,2026-07-22,Cancelled
O000339,C00009,P0014,4,2026-08-10,shipped
O000340,C00084,P0037,4,20-Jul-2026,Returned
O000341,C00170,P0025,5,13-Jul-2026,Cancelled
O000342,C00028,P0007,3,01-Aug-2026,cancelled
O000343,C00168,P0002,4,14/08/2026,Shipped
O000344,C00183,P0036,5,29-Jul-2026,cancelled
O000345,C00044,P0050,1,2026-08-13,shipped
O000346,C00079,P0025,4,19/08/2026,Cancelled
O000347,C00055,P0006,3,2026-07-05,DELIVERED
O000348,C00045,P0012,5,01/08/2026,delivered
O000349,C00014,P0006,5,27/07/2026,cancelled
O000350,C00007,P0019,5,2026-07-31,Returned
O000351,C00087,P0044,3,29/07/2026,Pending
O000352,C00075,P0005,3,15/07/2026,delivered
O000353,C00185,P0017,5,20-Jul-2026,Shipped
O000354,,P0007,4,13/07/2026,cancelled
O000355,C00169,P0029,5,2026-07-26,shipped
O000356,C00165,P0039,2,18/08/2026,Cancelled
O000357,C00150,P0048,5,2026-08-18,Cancelled
O000358,C00193,P0018,5,2026-07-30,Returned
O000359,C00093,P0044,4,08-Aug-2026,Shipped
O000360,C00225,P0052,4,23-Jul-2026,Pending
O000361,C00072,P0041,2,24-Jul-2026,cancelled
O000362,C00194,P0005,4,02-Aug-2026,Returned
O000363,C00215,P0035,5,07-Jul-2026,delivered
O000364,C00056,P0050,2,20-Jul-2026,Delivered
O000365,C00289,P0042,3,17/08/2026,delivered
O000366,C00006,P0007,5,21-Jul-2026,Shipped
O000367,C00229,P0024,5,30-Jul-2026,Returned
O000368,C00078,P0023,4,2026-07-06,delivered
O000369,C00073,P0023,2,24-Jul-2026,Pending
O000370,C00179,P0031,4,11/07/2026,delivered
O000371,C00154,P0003,3,18-Aug-2026,delivered
O000372,C00085,P0060,2,20/07/2026,Returned
O000373,C00219,P0030,2,19-Jul-2026,cancelled
O000374,C00203,P0002,4,13/08/2026,Delivered
O000375,C00110,P0014,1,22-Jul-2026,delivered
O000376,C00275,P0012,1,28/07/2026,Pending
O000377,C00271,P0041,4,25-Jul-2026,delivered
O000378,C00179,P0023,3,03-Aug-2026,delivered
O000379,C00069,P0021,2,12/07/2026,DELIVERED
O000380,C00262,P0025,4,31/07/2026,DELIVERED
O000381,C00250,P0041,2,08-Aug-2026,DELIVERED
O000382,C00251,P0019,4,13-Jul-2026,Delivered
O000383,C00184,P0001,4,04-Aug-2026,Returned
O000384,C00254,P0027,4,17/08/2026,DELIVERED
O000385,C00043,P0037,3,2026-07-06,Returned
O000386,C00148,P0011,4,03-Aug-2026,Returned
O000387,C00058,P0037,3,12-Jul-2026,Delivered
O000388,C00226,P0035,2,18/07/2026,Delivered
O000389,C00231,P0017,1,2026-07-26,Shipped
O000390,C00180,P0056,2,19-Aug-2026,DELIVERED
O000391,C00106,P0053,5,17/07/2026,Returned
O000392,C00087,P0021,3,19-Aug-2026,delivered
O000393,C00070,P0049,2,30-Jul-2026,DELIVERED
O000394,C00128,P0010,4,19/08/2026,DELIVERED
O000395,C00296,P0041,4,2026-07-22,delivered
O000396,C00207,P0033,3,22/07/2026,Pending
O000397,C00168,P0038,4,05-Jul-2026,Cancelled
O000398,C00033,P0051,4,2026-08-08,Pending
O000399,C00138,P0021,2,23-Jul-2026,Pending
O000400,C00176,P0058,4,2026-08-16,delivered
O000401,C00081,P0029,4,2026-08-02,DELIVERED
O000402,C00155,P0011,3,2026-07-21,Cancelled
O000403,C00085,P0004,2,30/07/2026,delivered
O000404,C00049,P0001,5,2026-07-18,Returned
O000405,C00228,P0001,1,05/07/2026,DELIVERED
O000406,C00245,P0005,1,2026-07-19,Cancelled
O000407,C00189,P0057,2,23-Jul-2026,DELIVERED
O000408,C00036,P0034,2,09/08/2026,Cancelled
O000409,C00110,P0041,4,2026-07-14,delivered
O000410,C00052,P0009,3,12/07/2026,Cancelled
O000411,C00072,P0016,5,22-Jul-2026,shipped
O000412,C00014,P0055,5,16-Aug-2026,Shipped
O000413,C00201,P0019,2,14/08/2026,cancelled
O000414,C00058,P0016,5,2026-08-05,Cancelled
O000415,C00163,P0009,5,29-Jul-2026,DELIVERED
O000416,C00242,P0050,1,08/07/2026,Shipped
O000417,C00021,P0060,5,08/07/2026,cancelled
O000418,C00206,P0006,2,14/08/2026,delivered
O000419,C00159,P0006,2,06-Aug-2026,Cancelled
O000420,C00201,P0038,1,14/08/2026,cancelled
O000421,C00123,P0004,1,19/07/2026,Delivered
O000422,C00159,P0043,1,16-Aug-2026,DELIVERED
O000423,C00006,P0011,3,2026-08-05,Cancelled
O000424,C00065,P0048,1,22/07/2026,cancelled
O000425,C00140,P0034,5,09-Jul-2026,delivered
O000426,C00255,P0030,5,2026-08-06,Cancelled
O000427,C00081,P0017,1,2026-07-11,Returned
O000428,C00002,P0003,3,05/07/2026,DELIVERED
O000429,C00092,P0060,4,2026-07-07,Cancelled
O000430,C00128,P0027,5,25/07/2026,delivered
O000431,C00258,P0044,5,2026-07-08,cancelled
O000432,C00036,P0057,3,03/08/2026,delivered
O000433,C00284,P0030,5,05/07/2026,Shipped
O000434,C00238,P0024,2,11-Aug-2026,Returned
O000435,C00126,P0010,5,05/07/2026,Delivered
O000436,C00172,P0001,3,2026-08-16,Shipped
O000437,C00272,P0016,2,31-Jul-2026,shipped
O000438,C00048,P0003,3,19/07/2026,delivered
O000439,C00298,P0007,4,2026-08-05,Delivered
O000440,C00223,P0043,3,13/07/2026,Cancelled
O000441,C00163,P0029,2,2026-07-22,delivered
O000442,C00080,P0007,4,2026-07-15,Returned
O000443,C00184,P0050,3,2026-07-18,delivered
O000444,C00081,P0052,5,2026-08-17,Shipped
O000445,C00168,P0010,3,10/07/2026,Returned
O000446,C00026,P0044,2,2026-07-24,cancelled
O000447,C00232,P0036,1,2026-08-09,delivered
O000448,C00007,P0004,4,18/07/2026,delivered
O000449,C00299,P0038,1,2026-07-20,Pending
O000450,C00066,P0006,4,2026-07-25,DELIVERED
O000451,C00294,P0028,4,2026-07-30,Cancelled
O000452,C00110,P0059,2,2026-07-16,Shipped
O000453,C00152,P0032,1,31/07/2026,cancelled
O000454,C00071,P0027,5,2026-07-17,Returned
O000455,C00010,P0025,4,19/08/2026,Returned
O000456,C00165,P0025,5,2026-07-22,Delivered
O000457,C00144,P0004,5,2026-08-04,DELIVERED
O000458,C00052,P0016,1,2026-08-16,cancelled
O000459,C00182,P0060,3,16-Jul-2026,Cancelled
O000460,C00015,P0046,5,2026-08-18,Shipped
O000461,C00253,P0035,1,2026-07-24,Shipped
O000462,,P0002,5,2026-08-07,DELIVERED
O000463,C00175,P0046,2,16-Jul-2026,DELIVERED
O000464,C00057,P0055,3,07-Aug-2026,cancelled
O000465,C00052,P0022,2,24-Jul-2026,cancelled
O000466,C00250,P0042,5,25-Jul-2026,Cancelled
O000467,C00115,P0043,3,2026-08-11,DELIVERED
O000468,C00001,P0045,5,2026-08-10,DELIVERED
O000469,C00163,P0059,1,13/08/2026,DELIVERED
O000470,C00170,P0048,3,2026-07-09,delivered
O000471,C00172,P0029,1,05/07/2026,shipped
O000472,C00056,P0047,4,2026-07-04,cancelled
O000473,C00253,P0057,1,29/07/2026,Shipped
O000474,C00084,P0029,3,08/07/2026,delivered
O000475,C00038,P0022,1,15-Jul-2026,delivered
O000476,C00174,P0039,4,13-Aug-2026,DELIVERED
O000477,C00223,P0011,2,07/07/2026,Returned
O000478,C00277,P0017,1,2026-08-16,cancelled
O000479,C00293,P0036,1,04/08/2026,delivered
O000480,C00151,P0053,2,2026-08-16,Delivered
O000481,C00106,P0011,4,2026-08-14,shipped
O000482,C00204,P0031,5,05/08/2026,DELIVERED
O000483,C00190,P0057,1,29/07/2026,Pending
O000484,C00239,P0017,2,19-Jul-2026,delivered
O000485,C00044,P0043,5,2026-07-27,Returned
O000486,C00032,P0054,5,29-Jul-2026,Pending
O000487,C00294,P0057,4,20-Jul-2026,Delivered
O000488,C00258,P0037,5,2026-08-07,delivered
O000489,C00230,P0012,2,2026-07-15,cancelled
O000490,C00041,P0044,2,01-Aug-2026,shipped
O000491,C00164,P0059,4,08-Jul-2026,Cancelled
O000492,C00142,P0034,5,02-Aug-2026,Returned
O000493,C00215,P0008,5,30-Jul-2026,delivered
O000494,C00055,P0037,3,11/07/2026,shipped
O000495,C00197,P0042,1,2026-08-05,shipped
O000496,C00207,P0010,4,2026-08-13,cancelled
O000497,C00170,P0045,3,19/07/2026,Delivered
O000498,C00173,P0053,4,24-Jul-2026,delivered
O000499,C00117,P0009,3,24/07/2026,cancelled
O000500,C00046,P0013,4,02-Aug-2026,Pending
O000501,C00265,P0056,2,2026-07-27,shipped
O000502,C00260,P0026,1,2026-07-13,Shipped
O000503,C00103,P0054,1,08/07/2026,Shipped
O000504,C00141,P0024,1,03-Aug-2026,Delivered
O000505,C00124,P0024,4,05-Aug-2026,Returned
O000506,C00180,P0023,1,15/07/2026,Delivered
O000507,C00198,P0004,2,2026-07-15,Shipped
O000508,C00106,P0018,1,15/08/2026,DELIVERED
O000509,C00089,P0039,3,05-Jul-2026,shipped
O000510,C00217,P0058,2,29/07/2026,shipped
O000511,C00267,P0053,1,13-Aug-2026,Cancelled
O000512,C00288,P0042,1,12/08/2026,delivered
O000513,C00173,P0018,3,14-Aug-2026,shipped
O000514,C00097,P0010,5,07/08/2026,Cancelled
O000515,C00072,P0047,3,06/07/2026,cancelled
O000516,C00208,P0025,5,2026-07-07,Cancelled
O000517,C00114,P0044,3,08-Aug-2026,shipped
O000518,C00088,P0054,1,16/08/2026,DELIVERED
O000519,C00133,P0047,3,09-Aug-2026,delivered
O000520,C00114,P0023,4,19/07/2026,Cancelled
O000521,C00134,P0038,4,2026-07-23,delivered
O000522,C00242,P0057,4,17-Jul-2026,shipped
O000523,C00212,P0004,3,13/07/2026,Pending
O000524,C00074,P0021,4,19/08/2026,DELIVERED
O000525,C00161,P0041,2,2026-07-07,DELIVERED
O000526,C00251,P0051,4,09/07/2026,cancelled
O000527,C00245,P0025,3,2026-07-04,Cancelled
