return_id,order_id,reason,return_date
R00073,O000086,Late delivery,2026-08-08
R00074,O000125,Not as described,2026-08-23
R00075,O000034,Not as described,2026-08-24
R00076,O000092,Late delivery,2026-08-24
R00077,O000224,Defective,2026-08-10
R00078,O000232,Late delivery,2026-08-11
R00079,O000418,Not as described,2026-08-10
R00080,O001687,Changed mind,2026-08-04
R00081,O000874,Not as described,2026-08-20
R00082,O000669,Late delivery,2026-08-28
R00083,O000687,Changed mind,2026-08-07
R00084,O000768,Changed mind,2026-08-13
R00085,O000603,Late delivery,2026-08-15
R00086,O948274,Defective,2026-08-11
R00087,O000308,Late delivery,2026-08-22
R00088,O979827,Wrong item,2026-08-21
R00089,O001047,Late delivery,2026-08-08
R00090,O001460,Not as described,2026-08-03
R00091,O000776,Late delivery,2026-08-08
R00092,O995192,Wrong item,2026-08-11
R00093,O001330,Defective,2026-08-05
R00094,O000460,Late delivery,2026-08-28
R00095,O001177,Late delivery,2026-08-12
R00096,O001104,Defective,2026-08-14
R00097,O001081,Defective,2026-08-17
R00098,O001351,Late delivery,2026-08-22
R00099,O000650,Not as described,2026-08-05
R00100,O001179,Not as described,2026-08-19
R00101,O000674,Wrong item,2026-08-08
R00102,O000742,Wrong item,2026-08-29
R00103,O001521,Defective,2026-08-14
R00104,O000912,Changed mind,2026-08-16
R00105,O000721,Late delivery,2026-08-10
R00106,O000742,Changed mind,2026-08-16
R00107,O000920,Changed mind,2026-08-09
R00108,O001684,Wrong item,2026-08-11
R00109,O000502,Changed mind,2026-08-04
R00110,O001364,Wrong item,2026-08-25
R00111,O001618,Not as described,2026-08-23
R00112,O000242,Defective,2026-08-05
R00113,O001035,Wrong item,2026-08-13
R00114,O001296,Wrong item,2026-08-19
R00115,O000930,Defective,2026-09-01
R00116,O000858,Not as described,2026-08-20
R00117,O001457,Changed mind,2026-08-19
R00118,O000259,Defective,2026-08-28
R00119,O000050,Wrong item,2026-08-27
R00120,O000272,Late delivery,2026-08-15
R00121,O000795,Changed mind,2026-08-19
R00122,O000824,Late delivery,2026-08-29
R00123,O000601,Defective,2026-08-17
R00124,O001678,Not as described,2026-08-29
R00125,O001263,Defective,2026-08-17
R00126,O000093,Defective,2026-08-05
R00127,O000727,Changed mind,2026-08-30
R00128,O001292,Changed mind,2026-08-24
R00129,O000893,Not as described,2026-08-18
R00130,O001434,Wrong item,2026-08-30
R00131,O001483,Late delivery,2026-08-27
R00132,O001044,Defective,2026-08-23
R00133,O000016,Late delivery,2026-08-21
R00134,O001381,Changed mind,2026-08-06
R00135,O000899,Wrong item,2026-08-25
R00136,O001205,Not as described,2026-08-08
R00137,O000199,Wrong item,2026-09-01
R00138,O000699,Defective,2026-09-01
R00139,O001076,Late delivery,2026-08-27
R00140,O000874,Not as described,2026-08-06
R00141,O000653,Wrong item,2026-08-15
R00142,O000086,Wrong item,2026-09-01
R00143,O000570,Late delivery,2026-08-16
R00144,O000644,Defective,2026-09-01
R00145,O000340,Defective,2026-08-21
R00146,O000997,Changed mind,2026-08-28
R00147,O000347,Not as described,2026-08-10
R00148,O000532,Late delivery,2026-08-30
R00149,O000475,Not as described,2026-08-30
R00150,O000424,Late delivery,2026-08-05
R00151,O001534,Wrong item,2026-08-14
R00152,O905209,Late delivery,2026-08-14
R00153,O000400,Defective,2026-08-12
R00154,O001673,Defective,2026-08-11
R00155,O000578,Late delivery,2026-08-16
R00156,O000912,Late delivery,2026-08-29
R00157,O000930,Not as described,2026-08-26
R00158,O001467,Defective,2026-08-21
R00159,O000886,Changed mind,2026-08-18
R00160,O000281,Not as described,2026-08-15
R00161,O000239,Not as described,2026-08-15
R00162,O001513,Wrong item,2026-08-07
R00163,O000670,Wrong item,2026-08-20
R00164,O000566,Changed mind,2026-08-25
R00165,O001051,Defective,2026-08-31
R00166,O000645,Defective,2026-08-30
R00167,O001445,Late delivery,2026-08-19
R00168,O001144,Defective,2026-08-06
R00169,O001285,Defective,2026-08-11
R00170,O001201,Changed mind,2026-08-19
R00171,O000451,Wrong item,2026-08-13
R00172,O000311,Changed mind,2026-08-15
R00173,O000661,Changed mind,2026-08-14
R00174,O000407,Defective,2026-08-17
R00175,O001482,Wrong item,2026-08-21
R00176,O908816,Changed mind,2026-08-04
R00177,O000428,Wrong item,2026-08-11
R00178,O990175,Not as described,2026-08-07
R00179,O001293,Late delivery,2026-08-21
R00180,O000715,Changed mind,2026-08-23
R00136,O001205,Not as described,2026-08-08
R00169,O001285,Defective,2026-08-11
R00047,O001134,Changed mind,2026-08-28
R00077,O000224,Defective,2026-08-10
R00060,O000542,Wrong item,2026-08-19
R00075,O000034,Not as described,2026-08-24
